,Model,Brand,Colour,Style,Fabrication,Price,Picture,Age,size,Fabricaton,Origin,Fabriction,Fabrocation,Materia,Platform,Volume,Suitable,Includes,Wedge,Sport,Sneaker,Base,Footwear,Ingredients,Formal,Toe,Size,Qty,Care
0,Gazelle w - clear lilac/cloud white,adidas Originals,Clear Lilac/Cloud White,Code B41663,Nubuck Upper with Rubber Sole,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2254179/original.jpg,women,"UK 4, UK 6, UK 7, UK 7.5, UK 8, ",,,,,,,,,,,,,,,,,,,,
1,"Air Force 1 '07 SE ""Indigo""",Nike,White/Obsidian-White-Black,Code CZ0269-100,Synthetic Upper with Rubber Sole,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2253623/original.jpg,women,"UK 3, UK 4, UK 4.5, UK 5, UK 5.5, UK 6, UK 6.5, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
2,Lyte classic - white/camel beige,Asics,White/camel beige,Code 1202A112-100,Mesh upper with Suede overlays & Rubber sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2250261/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
3,Nizza platform w - fv5322 - ftwr white/ftwr white/ftwr white,Adidas Originals,Ftwr white/ftwr white/ftwr white,Code fv5322,Textile Upper with Rubber Sole,R1399,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2250883/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
4,Retrorun - eh1859 - core black/cloud white/alumina,Adidas Originals,Core black/cloud white/alumina,Code EH1859,Nylon and suede upper with Rubber sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2250871/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
5,Courtpoint - fy8407 - ftwr white/silver met./dove grey,Adidas Originals,Ftwr white/silver met./dove grey,Code FY8407,Leather Upper with Rubber Sole,R899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2250963/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
6,Court Bold - ftwr white/iron met.,Adidas Originals,Ftwr white/ftwr white/iron met.,Code Gz2695,Synthetic Upper with Rubber Sole,R1099,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251261/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
7,Stan Smith - ftwr white/core black,Adidas Originals,Ftwr white/ftwr white/core black,Code FX5500,Synthetic Upper with Rubber Sole,R1499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2245795/original.jpg,men,"UK 3, UK 4, UK 4.5, UK 5, UK 5.5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",,,,,,,,,,,,,,,,,,,,
8,NMD_R1 - halo blush/ftwr white/core black,Adidas Originals,Halo Blush / Cloud White / Core Black,Code GZ7996,Stretch Knit Upper with Rubber Sole,R2799,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246268/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
9,Courtpoint - core black/iron met./ftwr white,adidas Performance,Core black/iron met./ftwr white,Code H01966,Leather Upper with Rubber Sole,R899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246337/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
10,Court Tourino - ftwr white/core black,Adidas Originals,Ftwr white/ftwr white/core black,Code H05279,Synthetic Upper with Rubber Sole,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2247407/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
11,Top Sleek - ftwr white/gold met.,Adidas Originals,Ftwr white/ftwr white/gold met.,Code Q46111,Synthetic Upper with rubber Sole,R1599,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2247421/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
12,ZX 1K Boost - clear pink/ftwr white/violet tone,Adidas Originals,Clear pink/ftwr white/violet tone,Code H02936,,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246020/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
13,Futurecourt - h68185 - ftwr white/ftwr white/wonder white,adidas Originals,Ftwr White & Wonder White,Code h68185,Leather Upper with Rubber sole,R1599,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2224707/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
14,Choigo - ftwr white/pulse yellow/light purple,Adidas Originals,Ftwr white/pulse yellow/light purple,Code H04324,Mesh & Synthetic Upper with Rubber Sole,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246044/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
15,Forum low - ftwr white/shock pink,Adidas Originals,Ftwr white/ftwr white/shock pink,Code G58001,Leather Upper with Rubber Sole,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246945/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
16,ZX 1K Boost - wonder white/wonder white/acid orange,Adidas Originals,Wonder white/wonder white/acid orange,Code GZ9173,Mesh upper with overlays & Rubber Sole,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246288/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
17,Choigo - ftwr white/matte silver/rose tone,Adidas Originals,Ftwr white/matte silver/rose tone,Code gz8141,Synthetic & Textile Upper with Rubber Sole,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246278/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
18,HER Studio London Superstar,Adidas Originals,Ftwr white/matte gold,Code H04077,,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246034/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
19,HER Studio London Forum bold,adidas Originals,"Ftwr White, Supplier Colour & Matte Gold",,Leather Upper with Rubber sole,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246383/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
20,Authentic - (tartan daze) multi/acid dye,Vans,(tartan daze) multi/acid dye,Code VN0A5HZS9GB1,Canvas & Leather Upper with Waflle Sole,R999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2243925/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
21,Nizza platform - core black/ftwr white,Adidas Originals,Core black/ftwr white/ftwr white,Code FV5321,Canvas Upper with Rubber Sole,R1399,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2245787/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
22,Stan Smith - ftwr white/gold met.,Adidas Originals,ftwr white/ftwr white/gold met,,Leather Upper with Rubber Sole,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2223618/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
23,Jada - puma white-puma white-puma silver-eggshell blue,PUMA,puma white-puma white-puma silver-eggshell blue,Code 38075104,Leather Upper with Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2243949/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
24,Court Tourino - core black/ftwr white,Adidas Originals,Core black/core black/ftwr white,,Synthetic Upper with Rubber Sole,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2223636/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
25,Sk8-hi - (tartan daze) multi/acid dye,Vans,(tartan daze) multi/acid dye,Code VN0A32QG9GB1,Canvas & Leather Upper with Waffle Sole,R1399,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2244877/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
26,Old skool zip - (tartan daze) multi/acid dye,Vans,(tartan daze) multi/acid dye,Code VN0A34939GB1,Canvas & Leather Upper with Waffle Sole,R1299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2243914/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
27,Club c 85 - white/alabas/chalk,Reebok,White/Alabas/Chalk,Code Fv1095,Leather upper with Rubber sole,R1099,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2243497/original.jpg,women,"UK 3, UK 4, UK 6, UK 8, UK 5, UK 7, ",,,,,,,,,,,,,,,,,,,,
28,Freestyle hi Wonder Woman - shady grey / shady grey / fearless purple,Reebok,"Shady grey, Shady Grey & Fearless Purple",Code FW4658,Nubuck Upper with Rubber Sole,R1799,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2242850/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
29,Cl lthr - white/white/white,Reebok,White/White/White,Code FV1083,Leather Upper with Rubber Sole,R1299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197792/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
30,Cl legacy - white/trgry1/skugry,Reebok,White/Trgry1/Skugry,Code FY7379,Textile Upper with Rubber Sole,R1399,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2198462/original.jpg,women,"UK 10, UK 11, UK 3, UK 4, UK 5, UK 6, UK 8, UK 9, ",,,,,,,,,,,,,,,,,,,,
31,Cl legacy - alabas/chalk/lasred,Reebok,alabas/chalk/lasred,Code FY7432,Textile Upper with Rubber Sole,R1399,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2198505/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, ",,,,,,,,,,,,,,,,,,,,
32,Suede triplex - suede triplex - 38117508 - rosewater-peony-puma white,PUMA,Rosewater-peony-puma white,,Suede Upper with Rubber sole,R1599,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2241501/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
33,Calow basic q2 - white,G-Star RAW,White,Code D20039-C826-110,Suede & Textile Upper,R2199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2241682/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
34,Calow basic q2 - combat,G-Star RAW,Combat,Code D20039-C826-723,Cow Suede Leather and PU-leather detailing,R2199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221168/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
35,Calow basic q2 - delta blue,G-Star RAW,Delta blue,Code D20039-C826-1852,Cow Suede Leather & PU-leather detailing,R2199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221139/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
36,Classic Slip-On x Spongebob - alohabob,Vans,Alohabob,Code VN0A33TBYZ11,Canvas Upper with Waffle Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2240356/original.jpg,men,"UK 6, UK 8, UK 9, UK 10, UK 11, UK 3, UK 4, UK 5, UK 7, ",,,,,,,,,,,,,,,,,,,,
37,SK8-Hi x Spongebob - imaginaaation,Vans,Imaginaaation,Code VN0A32QGZAW1,Canvas Upper with Waffle Sole,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2240324/original.jpg,men,"UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 3, UK 4, ",,,,,,,,,,,,,,,,,,,,
38,Authentic x SpongeBob - airbrush,Vans,Airbrush,Code VN0A5HZSZAS1,Canvas Upper with Waffle Sole,R1099,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2240285/original.jpg,men,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",,,,,,,,,,,,,,,,,,,,
39,Club c 85 - white/white/neoblu,Reebok,white/white/neoblu,Code FV1096,Leather Upper with Rubber Sole,R1099,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197845/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
40,Cl legacy - minblu/cougrn/syello,Reebok,Minblu/Cougrn/Syello,Code FY7335,Leather Upper with Rubber Sole,R1499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2198399/original.jpg,women,"UK 3, UK 4, UK 7, UK 8, UK 9, UK 11, UK 5, UK 6, UK 10, ",,,,,,,,,,,,,,,,,,,,
41,2790 cotlettering - white,SUPERGA,White,Code S7117DW-901,Canvas Upper with Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2240775/original.jpg,women,"UK 5.5, UK 6, UK 6.5, UK 7, UK 8, UK 2.5, UK 3.5, UK 4, UK 5, ",,,,,,,,,,,,,,,,,,,,
42,2341 alpina jelly - beige lt sand,SUPERGA,beige lt sand,Code S1114WW-602,Canvas Upper with Gum Sole,R1499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2240755/original.jpg,women,"UK 2.5, UK 3.5, UK 4, UK 5, UK 5.5, UK 6.5, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
43,Club c 85 - white/elefla/neoblu,Reebok,white/elefla/neoblu,Code FV1086,Textile Upper with Rubber Sole,R1099,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197753/original.jpg,women,"UK 5, UK 6, UK 7, UK 8, UK 3, UK 4, ",,,,,,,,,,,,,,,,,,,,
44,Mayze lth wn's - puma white-peyote,PUMA,puma white-peyote,Code 38198302,Leather Upper with Suede Overlays & Rubber Sole,R1899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2238564/original.jpg,women,"UK 5, UK 6, UK 7, UK 8, UK 3, UK 4, ",,,,,,,,,,,,,,,,,,,,
45,Suede Mayu UP women's sneakers - super lemon-marshmallow-gum 3,PUMA,super lemon-marshmallow-gum,Code 38165003,Suede Upper with Gum Sole,R1899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2238576/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
46,Mayze lth wn's - puma white-puma black,PUMA,puma white-puma black,Code 38198301,Leather Upper with Suede Overlays & Rubber Sole,R1899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2236658/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 8, UK 3, ",,,,,,,,,,,,,,,,,,,,
47,Jada - puma black-puma black-rose gold-lotus-puma white,PUMA,puma black-puma black-rose gold-lotus-puma white,Code 38075103,Leather Upper with Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2236626/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
48,X-ray 2 square mid wtr - puma black-puma black-rose gold-whisper white,PUMA,puma black-puma black-rose gold-whisper white,Code 373020 07,Textile Upper with Faux Leather Overlays & Rubber Sole,R1599,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2236601/original.jpg,women,"UK 3, UK 5, UK 6, UK 7, UK 8, UK 4, ",,,,,,,,,,,,,,,,,,,,
49,Ua era - (classic sport) blushing bride/parisian night,Vans,Blushing Bride & Parisian Night,Code VN0A54F14FW1,Canvas Upper with Rubber Sole,R749,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2233333/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
50,5740 - grey,New Balance,Grey (030),Code W5740SA,Suede & Mesh Upper with Rubber Sole,R1799,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2233480/original.jpg,women,"UK 5, UK 8, UK 3, UK 4, UK 6, UK 7, ",,,,,,,,,,,,,,,,,,,,
51,Ua old skool - (classic sport) blushing bride/parisian night,Vans,Blushing Bride & Parisian Night,Code VN0A3WKT4FW1,Canvas Upper with Suede Overlays & Rubber sole,R899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2233319/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
52,Mirage mox vision - apricot blush-gray violet,PUMA Select,apricot blush-gray violet,Code 368609 02,Mesh Upper with Suede & Leather Overlays,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2231306/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
53,Japan s pf - white/black,Asics Tiger,White/Black,,Faux Leather Upper with Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2052892/original.jpg,women,"UK 4, UK 3, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
54,Ua old skool - orchid & true white,Vans,Orchid & True White,Code VN0A3WKT3SQ1,Canvas Upper with Rubber Sole,R849,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2241367/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
55,Ua old skool - (galaxy) black/true white,Vans,Black & True White,Code VN0A3WKTG4F1,Canvas Upper with Rubber Sole,R999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2241361/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
56,2790 cotw  - white,SUPERGA,White,Code S9111LW-901,Canvas Upper with Rubber Sole,R1099,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2224667/original.jpg,women,"UK 5.5, UK 6, UK 6.5, UK 7, UK 8, UK 2.5, UK 3.5, UK 4, UK 5, ",,,,,,,,,,,,,,,,,,,,
57,2790 cotw - full black,SUPERGA,Full Black,Code S9111LW-906,Canvas Upper with Rubber Sole,R1099,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2224661/original.jpg,women,"UK 2.5, UK 3.5, UK 5, UK 5.5, UK 6, UK 6.5, UK 4, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
58,2790 cotlettering - black,SUPERGA,Black,Code S7117DW-999,Canvas Upper with Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2224678/original.jpg,women,"UK 5, UK 6, UK 6.5, UK 7, UK 8, UK 2.5, UK 3.5, UK 4, UK 5.5, ",,,,,,,,,,,,,,,,,,,,
59,New Balance - 5740 - white/multi,New Balance,White/Multi,,Suede Upper with Rubber Sole,R1799,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2223361/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
60,New balance - 5740 - multi,New Balance,Multi,,Suede Upper with Rubber Sole,R1799,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2223400/original.jpg,women,"UK 3, UK 4, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
61,Rs-curve tones wn's - marshmallow-shifting sand-eggnog,PUMA,marshmallow-shifting sand-eggnog,Code 375783 01,Mesh Upper with Suede & Leather Overlays,R1424,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221088/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 8, UK 3, ",,,,,,,,,,,,,,,,,,,,
62,S-astico low cut w sneakers - aqua sky,Diesel,Aqua sky,Code y02366-pr189-t6259,Canvas Upper with Rubber sole,R1539,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2066120/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
63,S-astico low cut w sneakers - faded rose,Diesel,Faded rose,Code y02366-pr189-t4161,Canvas Upper with Rubber sole,R1539,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2066103/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
64,S-astico mc wedge sneakers - raspberry sorbet,Diesel,Raspberry sorbet,Code y02492-pr189-t4229,Textile Upper with Rubber sole,R2729,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2066778/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
65,S-astico mc wedge sneakers - glacier grey,Diesel,Glacier grey,Code y02492-pr189-t8056,Textile Upper with Rubber sole,R2729,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2066809/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
66,Cruise rider ocean road wn's - puma white-nimbus cloud-elektro green,PUMA,"Puma White, Nimbus Cloud & Elektro Green",Code 380636 02,Textile Upper with Synthetic Overlays & Rubber Sole,R1274,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2216301/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
67,Oslo maja metal wn's - puma white-puma aged silver,PUMA,Puma White & Puma Silver,Code 375039 02,Faux Leather Upper with Rubber Sole,R1424,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2216212/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
68,Rs-curve aura wn's - scuba blue-puma silver-puma white,PUMA,"Scuba Blue, Puma Silver & Puma White",Code 375784 01,Mesh Upper with Leather Overlays & Rubber Sole,R1424,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2216256/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
69,Cali star pop wn’s - puma black-puma white-ignite pink-elektro peach,PUMA,"Puma Black, Puma White, Ignite Pink & Elektro Peach",Code 380693 02,Leather Upper with Rubber Sole,R1349,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2216327/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
70,Cruise rider ocean road wn's - puma white-fiery coral-elektro peach,PUMA,"Puma White, Fiery Coral & Elektro Peach",Code 380636 01,Textile Upper with Synthetic Overlays & Rubber Sole,R1274,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2216278/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 8, UK 3, ",,,,,,,,,,,,,,,,,,,,
71,Cali sport clean wn's - puma white-puma black,PUMA,Puma White & Puma Black,Code 375407 03,Leather Upper with Rubber Sole,R1349,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2216231/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
72,Cali star pop wn’s - puma white-ignite pink-elektro peach,PUMA,"Puma White, Ignite Pink & Elektro Peach",Code 380693 01,Leather Upper with Rubber Sole,R1349,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2216313/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
73,Oslo maja metal wn's - puma white-puma team gold,PUMA,Puma White & Puma Gold,Code 375039 01,Faux Leather Upper with Rubber Sole,R1424,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2216200/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
74,Puma r78 og - gray violet-puma white-steel gray,PUMA,Gray Violet-Puma White-Steel Gray,Code 380787 02,Mesh & Nylon Upper with Synthetic Leather Overlays & Rubber Sole,R824,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2212289/original.jpg,women,"UK 3, UK 4, UK 6, UK 7, UK 8, UK 5, ",,,,,,,,,,,,,,,,,,,,
75,Blazer mid '77 se - white/obsidian-white-obsidian,Nike,White/obsidian-white-obsidian,Code DC9265-100,Canvas Upper with Rubber Sole,R1499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2211376/original.jpg,women,"UK 3, UK 4, UK 4.5, UK 5, UK 5.5, UK 6, UK 6.5, UK 7, UK 7.5, UK 8, ",,,,,,,,,,,,,,,,,,,,
76,Blazer mid '77 se - white/light sienna-white,Nike,White/light sienna-white,Code DC9265-101,Canvas Upper with Rubber Sole,R1499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2211398/original.jpg,women,"UK 3, UK 4, UK 4.5, UK 5, UK 5.5, UK 6, UK 6.5, UK 7, UK 7.5, UK 8, ",,,,,,,,,,,,,,,,,,,,
77,L viper pu fash 20 - grey & sage,SOVIET,Grey,,Faux Leather Upper,R279,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2209177/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
78,237 - grey (030),New Balance,Grey,Code ws237cd,Suede & Mesh upper with Rubber Sole,R1299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2209070/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 3, UK 8, ",,,,,,,,,,,,,,,,,,,,
